analysis_type,group,total_real,false_positive_count,false_positive_rate,raw_false_positive_count,raw_false_positive_rate,final_false_positive_count,final_false_positive_rate,avg_score,median_score,max_score
semantic_category,food_retail,45,17,0.377778,17,0.377778,11,0.244444,0.153276,0.136936,0.254750
semantic_category,indoor_home,45,27,0.600000,27,0.600000,9,0.200000,0.164581,0.156948,0.269566
semantic_category,lowlight_weather,45,23,0.511111,23,0.511111,18,0.400000,0.167513,0.152135,0.241267
semantic_category,nature_travel,45,24,0.533333,24,0.533333,12,0.266667,0.158907,0.151936,0.242922
semantic_category,object_closeup,45,12,0.266667,12,0.266667,9,0.200000,0.145958,0.136160,0.232041
semantic_category,outdoor_street,45,18,0.400000,18,0.400000,6,0.133333,0.146318,0.143115,0.226486
semantic_category,people_partial,30,6,0.200000,6,0.200000,6,0.200000,0.155467,0.141495,0.252387
semantic_category,unknown,30,18,0.600000,18,0.600000,13,0.433333,0.175866,0.172545,0.262213
transform_group,legacy,30,18,0.600000,18,0.600000,13,0.433333,0.175866,0.172545,0.262213
transform_group,raw,100,35,0.350000,35,0.350000,23,0.230000,0.149804,0.138476,0.259766
transform_group,real_jpg,100,46,0.460000,46,0.460000,24,0.240000,0.158829,0.147255,0.269115
transform_group,real_png,100,46,0.460000,46,0.460000,24,0.240000,0.159455,0.147949,0.269566
dataset_role,legacy,30,18,0.600000,18,0.600000,13,0.433333,0.175866,0.172545,0.262213
dataset_role,paired_format,200,92,0.460000,92,0.460000,48,0.240000,0.159142,0.147593,0.269566
dataset_role,raw_source,100,35,0.350000,35,0.350000,23,0.230000,0.149804,0.138476,0.259766
category,day8_small_30,30,18,0.600000,18,0.600000,13,0.433333,0.175866,0.172545,0.262213
category,food_retail,15,5,0.333333,5,0.333333,3,0.200000,0.146828,0.127932,0.244164
category,indoor_home,15,7,0.466667,7,0.466667,3,0.200000,0.158580,0.149425,0.259766
category,lowlight_weather,15,7,0.466667,7,0.466667,6,0.400000,0.161284,0.141728,0.231138
category,nature_travel,15,6,0.400000,6,0.400000,4,0.266667,0.152806,0.145308,0.230222
category,object_closeup,15,4,0.266667,4,0.266667,3,0.200000,0.139845,0.129063,0.221484
category,outdoor_street,15,4,0.266667,4,0.266667,2,0.133333,0.139917,0.139185,0.217050
category,people_partial,10,2,0.200000,2,0.200000,2,0.200000,0.149153,0.135622,0.237154
category,real_jpg,100,46,0.460000,46,0.460000,24,0.240000,0.158829,0.147255,0.269115
category,real_png,100,46,0.460000,46,0.460000,24,0.240000,0.159455,0.147949,0.269566
extension,jpeg,84,25,0.297619,25,0.297619,14,0.166667,0.143593,0.135361,0.259766
extension,jpg,143,71,0.496503,71,0.496503,44,0.307692,0.164427,0.149587,0.269115
extension,png,103,49,0.475728,49,0.475728,26,0.252427,0.160290,0.148626,0.269566
exif,has_exif,111,39,0.351351,39,0.351351,26,0.234234,0.149974,0.138980,0.259766
exif,no_exif,219,106,0.484018,106,0.484018,58,0.264840,0.161816,0.148626,0.269566
resolution_bucket,large,27,21,0.777778,21,0.777778,16,0.592593,0.194695,0.208724,0.262213
resolution_bucket,small,1,1,1.000000,1,1.000000,1,1.000000,0.228971,0.228971,0.228971
resolution_bucket,xlarge,302,123,0.407285,123,0.407285,67,0.221854,0.154302,0.144947,0.269566
score_bucket,0.10_0.15,170,0,0.000000,0,0.000000,0,0.000000,0.130520,0.131354,0.149968
score_bucket,0.15_0.18,61,61,1.000000,61,1.000000,0,0.000000,0.161790,0.159598,0.179865
score_bucket,0.18_0.25,76,76,1.000000,76,1.000000,76,1.000000,0.218118,0.218691,0.246597
score_bucket,above_0.25,8,8,1.000000,8,1.000000,8,1.000000,0.260374,0.260983,0.269566
score_bucket,below_0.10,15,0,0.000000,0,0.000000,0,0.000000,0.091150,0.093726,0.098954
difficulty,hard,300,127,0.423333,127,0.423333,71,0.236667,0.156029,0.145329,0.269566
difficulty,unknown,30,18,0.600000,18,0.600000,13,0.433333,0.175866,0.172545,0.262213
