category,real_total,real_fp_count,real_fp_rate,real_flip_count,real_flip_rate,fp_and_flip_count,fp_and_flip_rate,avg_score_delta_all_real,avg_score_delta_fp_real,avg_score_delta_non_fp_real
__overall__,330,145,0.439394,259,0.784848,100,0.689655,0.065112,0.054856,0.073150
food_retail,45,17,0.377778,34,0.755556,9,0.529412,0.067648,0.062246,0.070928
indoor_home,45,27,0.600000,36,0.800000,23,0.851852,0.050028,0.050427,0.049429
lowlight_weather,45,23,0.511111,39,0.866667,17,0.739130,0.067499,0.052044,0.083657
nature_travel,45,24,0.533333,33,0.733333,12,0.500000,0.073965,0.048648,0.102898
object_closeup,45,12,0.266667,40,0.888889,12,1.000000,0.063580,0.067710,0.062078
outdoor_street,45,18,0.400000,39,0.866667,12,0.666667,0.079003,0.051783,0.097149
people_partial,30,6,0.200000,19,0.633333,6,1.000000,0.058796,0.102249,0.047933
unknown,30,18,0.600000,19,0.633333,9,0.500000,0.054848,0.045093,0.069480
