analysis_type,group,total_count,flip_count,flip_rate,avg_score_delta,median_score_delta,max_score_delta
true_label,ai,330,124,0.375758,0.031150,0.026312,0.101709
true_label,real,330,259,0.784848,0.065112,0.064071,0.156907
semantic_category,food_retail,90,49,0.544444,0.045429,0.032747,0.122420
semantic_category,indoor_home,90,54,0.600000,0.037571,0.032583,0.125815
semantic_category,lowlight_weather,90,60,0.666667,0.050392,0.044589,0.133538
semantic_category,nature_travel,90,38,0.422222,0.055231,0.045940,0.156907
semantic_category,object_closeup,90,64,0.711111,0.050892,0.045641,0.106604
semantic_category,outdoor_street,90,57,0.633333,0.054144,0.045166,0.128637
semantic_category,people_partial,60,33,0.550000,0.048797,0.044425,0.121557
semantic_category,unknown,60,28,0.466667,0.040150,0.027870,0.156312
transform_group,ai_jpg,100,37,0.370000,0.031851,0.026686,0.100555
transform_group,ai_png,100,39,0.390000,0.031653,0.026682,0.101709
transform_group,legacy,60,28,0.466667,0.040150,0.027870,0.156312
transform_group,raw,200,121,0.605000,0.051026,0.043442,0.156907
transform_group,real_jpg,100,79,0.790000,0.064845,0.062738,0.147505
transform_group,real_png,100,79,0.790000,0.063169,0.061031,0.145736
dataset_role,legacy,60,28,0.466667,0.040150,0.027870,0.156312
dataset_role,paired_format,400,234,0.585000,0.047880,0.038794,0.147505
dataset_role,raw_source,200,121,0.605000,0.051026,0.043442,0.156907
category,ai_jpg,100,37,0.370000,0.031851,0.026686,0.100555
category,ai_png,100,39,0.390000,0.031653,0.026682,0.101709
category,day8_small_30,60,28,0.466667,0.040150,0.027870,0.156312
category,food_retail,30,17,0.566667,0.047428,0.034001,0.113458
category,indoor_home,30,18,0.600000,0.039645,0.033189,0.116422
category,lowlight_weather,30,20,0.666667,0.051563,0.047304,0.133538
category,nature_travel,30,13,0.433333,0.057567,0.046433,0.156907
category,object_closeup,30,22,0.733333,0.052868,0.049052,0.106604
category,outdoor_street,30,19,0.633333,0.057446,0.045768,0.128637
category,people_partial,20,12,0.600000,0.050490,0.050013,0.106557
category,real_jpg,100,79,0.790000,0.064845,0.062738,0.147505
category,real_png,100,79,0.790000,0.063169,0.061031,0.145736
extension,jpeg,84,74,0.880952,0.074498,0.074244,0.156907
extension,jpg,243,142,0.584362,0.048996,0.041053,0.156312
extension,png,333,167,0.501502,0.040848,0.032297,0.145736
original_resolution_bucket,large,357,133,0.372549,0.031167,0.026308,0.105083
original_resolution_bucket,small,1,1,1.000000,0.049078,0.049078,0.049078
original_resolution_bucket,xlarge,302,249,0.824503,0.068181,0.067282,0.156907
flip_type,ai_to_real_after_resize,1,1,1.000000,0.105083,0.105083,0.105083
flip_type,ai_to_uncertain_after_resize,65,65,1.000000,0.073845,0.079623,0.125815
flip_type,none,277,0,0.000000,0.026992,0.024470,0.101709
flip_type,real_to_ai_after_resize,50,50,1.000000,0.102871,0.099524,0.156907
flip_type,real_to_uncertain_after_resize,10,10,1.000000,0.050299,0.052700,0.067310
flip_type,uncertain_to_ai_after_resize,256,256,1.000000,0.053475,0.052086,0.115835
flip_type,uncertain_to_real_after_resize,1,1,1.000000,0.048110,0.048110,0.048110
